time,x
0,1
0.1,0.9
0.2,0.81
0.3,0.729
0.4,0.6561
0.5,0.59049
0.6,0.531441
0.7,0.478297
0.8,0.430467
0.9,0.38742
1,0.348678
1.1,0.313811
1.2,0.28243
1.3,0.254187
1.4,0.228768
1.5,0.205891
1.6,0.185302
1.7,0.166772
1.8,0.150095
1.9,0.135085
2,0.121577
2.1,0.109419
2.2,0.0984771
2.3,0.0886294
2.4,0.0797664
2.5,0.0717898
2.6,0.0646108
2.7,0.0581497
2.8,0.0523348
2.9,0.0471013
3,0.0423912
3.1,0.038152
3.2,0.0343368
3.3,0.0309032
3.4,0.0278128
3.5,0.0250316
3.6,0.0225284
3.7,0.0202756
3.8,0.018248
3.9,0.0164232
4,0.0147809
4.1,0.0133028
4.2,0.0119725
4.3,0.0107753
4.4,0.00969774
4.5,0.00872796
4.6,0.00785517
4.7,0.00706965
4.8,0.00636269
4.9,0.00572642
5,0.00515378
5.1,0.0046384
5.2,0.00417456
5.3,0.0037571
5.4,0.00338139
5.5,0.00304325
5.6,0.00273893
5.7,0.00246503
5.8,0.00221853
5.9,0.00199668
6,0.00179701
6.1,0.00161731
6.2,0.00145558
6.3,0.00131002
6.4,0.00117902
6.5,0.00106112
6.6,0.000955005
6.7,0.000859504
6.8,0.000773554
6.9,0.000696199
7,0.000626579
7.1,0.000563921
7.2,0.000507529
7.3,0.000456776
7.4,0.000411098
7.5,0.000369988
7.6,0.00033299
7.7,0.000299691
7.8,0.000269722
7.9,0.000242749
8,0.000218475
8.1,0.000196627
8.2,0.000176964
8.3,0.000159268
8.4,0.000143341
8.5,0.000129007
8.6,0.000116106
8.7,0.000104496
8.8,9.40461e-05
8.9,8.46415e-05
9,7.61773e-05
9.1,6.85596e-05
9.2,6.17037e-05
9.3,5.55333e-05
9.4,4.998e-05
9.5,4.4982e-05
9.6,4.04838e-05
9.7,3.64354e-05
9.8,3.27919e-05
9.9,2.95127e-05
10,2.65614e-05
